event,horizon,dispersion_regime,year,event_count,mean_forward_return,median_forward_return,standard_error,t_statistic,directional_probability,p25,p50,p75
usd_weakest,16,high,2014,1393,0.012833463408215378,0.0253543251464169,0.021701467043354652,0.5913638641377102,0.4752333094041637,-0.3983347586374073,0.0253543251464169,0.4280510943734806
usd_weakest,16,high,2015,1259,0.006212883765327609,0.0301685596831058,0.020859328178264157,0.2978467816524197,0.49404289118347894,-0.429029552263099,0.0301685596831058,0.4248423461745588
usd_weakest,16,high,2016,1245,0.008922933328303354,0.0052864237847474,0.02003218734269183,0.44542980632410223,0.4907630522088353,-0.3885685455298825,0.0052864237847474,0.3922575907495716
usd_weakest,16,high,2017,1253,-0.02537492468240285,0.0049257928058918,0.021009022746023242,-1.2078108053458136,0.49640861931364727,-0.4090522073003637,0.0049257928058918,0.3686080310449802
asia_extreme_up,8,not_applicable,2013,114552,0.052774926037051875,0.0,0.007458890160402711,7.075439495974897,0.444261121586703,-0.8355673490200884,0.0,0.9074061917606154
asia_extreme_up,8,not_applicable,2014,108847,0.007806021484179488,0.0,0.0066520975015423815,1.1734676893069522,0.4788372669894439,-0.9573884272230272,0.0,0.9785844202128617
asia_extreme_up,8,not_applicable,2015,103351,-0.031315868821862956,-0.0108541031025356,0.010336004993451798,-3.0297846064995713,0.49552495863610413,-1.0605626093333202,-0.0108541031025356,1.0266427124637465
asia_extreme_up,8,not_applicable,2016,109193,-0.042622530330370605,-0.0393535009780422,0.0065156614508973905,-6.541550792897669,0.48802578919894135,-1.0896908087673818,-0.0393535009780422,1.009368127271865
asia_extreme_up,8,not_applicable,2017,104793,0.049011153718815995,0.0380765539543701,0.006539599526172859,7.494519125011096,0.5083831935339193,-0.9943132083972058,0.0380765539543701,1.0828271231016398
divergence_EURJPY_GBPJPY_convergence,16,not_applicable,2013,8645,0.24062043893277366,0.0639771239278476,0.006427658747566649,37.43516082335058,,0.0,0.0639771239278476,0.3963450049744644
divergence_EURJPY_GBPJPY_convergence,16,not_applicable,2014,6923,0.3219013873388445,0.2020964125746869,0.008282512569835464,38.86518548866376,,-0.0,0.2020964125746869,0.5604745383980742
