event,horizon,dispersion_regime,event_count,mean_forward_return,median_forward_return,standard_error,t_statistic,directional_probability,p25,p50,p75,pair_breadth_same_sign,year_breadth_same_sign
london_body_sweep_low,2,not_applicable,71707,-0.023832950427998784,-0.0179005376645892,0.004739933729279228,-5.028118912460599,0.48593582216520004,-0.5754934735742105,-0.0179005376645892,0.531174919375276,12,5
ny_open_sweep_high,4,not_applicable,81037,0.037022383777133204,0.0154996691786259,0.006633342852112943,5.581255876943,0.490578377778052,-0.7200056375549463,0.0154996691786259,0.7618100334950291,14,4
ote_down,2,not_applicable,122,0.22370804038625647,0.3662598799172928,0.4034918582513852,0.5544301224707263,0.4344262295081967,-1.0489545315129813,0.3662598799172928,1.132316081416806,5,2
fvg_down_h1_down,2,not_applicable,87787,0.027689193424396293,0.0634138126595324,0.004805170427286625,5.762374892503403,0.46039846446512583,-0.5018651034714494,0.0634138126595324,0.5960032987950625,12,5
m15_shock_down_1_5_2_0,1,not_applicable,20181,0.05392353381349404,0.1052214956762046,0.007629766661615067,7.067520699522876,0.5509637778108122,-0.4493470662622448,0.1052214956762046,0.6040810292691373,15,5
sweep_then_mss_up,2,not_applicable,40112,-0.040251876497346725,-0.08291257615133475,0.005945578967489815,-6.770051616073449,0.45240825688073394,-0.6254821936512279,-0.08291257615133475,0.4996105917452798,14,5
m15_shock_down_1_0_1_5,1,not_applicable,71831,0.046626140469606524,0.0825789243054978,0.003436525836221388,13.567813161234378,0.5469087162924086,-0.3891701339427181,0.0825789243054978,0.5255971403378196,15,5
ny_open_sweep_high,2,not_applicable,81506,0.03241216758385777,0.0213936319394392,0.004302979751168255,7.532493634221239,0.48357176158810394,-0.5148340494155267,0.0213936319394392,0.5614494386321256,14,5
london_open_extreme_down,8,not_applicable,463900,0.0018575542907692624,0.0,0.0036051183919561334,0.5152547264228278,0.4713257167492994,-0.9644671438851629,0.0,0.9801038595734503,7,3
usd_strongest,4,low,4911,-0.009945919076300285,0.0,0.007109427313105891,-1.3989761253997852,0.44878843412746894,-0.27677068009142225,0.0,0.24529188729248497,6,3
london_body_range_break_up,16,not_applicable,560352,0.004188642714758767,0.0,0.006215307670606767,0.6739236312576385,0.4737486437096682,-1.5083060278484508,0.0,1.4804727695315365,10,3
prior_sweep_high,2,not_applicable,52986,0.04850920932852028,0.0369668836193873,0.0056033944188634815,8.657111333304865,0.47682406673460914,-0.524135971220868,0.0369668836193873,0.5894137862353368,15,5
ny_open_range_break_down,4,not_applicable,534961,0.023513094465178033,0.0127791150330134,0.0021883483576365086,10.744676176956114,0.458435287806027,-0.6759257313471325,0.0127791150330134,0.7629431960225758,13,5
sweep_then_mss_down,8,not_applicable,40365,0.03087366316366757,0.089110352502944,0.014760630811541631,2.0916222048943083,0.47481729220859653,-1.0630644178597854,0.089110352502944,1.178834868337577,8,4
m15_shock_down_1_5_2_0,8,not_applicable,19937,0.05420529005753987,0.1316838712654182,0.019736814151868506,2.7464052526637484,0.5250539198475197,-1.2693286706243694,0.1316838712654182,1.4202190523217444,10,3
ote_down,16,not_applicable,124,1.3005526483656147,0.8346451881735562,1.6919488897726507,0.7686713565800274,0.3870967741935484,-1.5355084512945265,0.8346451881735562,3.589359447670356,11,3
london_open_range_break_down,4,not_applicable,629902,0.01033711428219821,0.0,0.0019646161618380874,5.261645751975717,0.4635673485716826,-0.6508556996508971,0.0,0.718465989970937,9,4
divergence_AUDUSD_NZDUSD_leader,8,not_applicable,34035,0.0006870185266898147,0.0,0.0038525506396304737,0.17832822744043453,0.4395769061260467,-0.331233527479474,0.0,0.328748038581918,1,4
jpy_residual_positive,16,normal,102,0.005677374314015054,0.01315883299896135,0.06452327266422646,0.0879895591093096,0.5,-0.313326301204079,0.01315883299896135,0.4330683108423835,2,2
breaker_up,4,not_applicable,104195,-0.034369653530940736,-0.0914887916220231,0.005976078399286964,-5.751205261136057,0.46640433802005854,-0.8701498135220536,-0.0914887916220231,0.7645333551964373,12,4
jpy_strongest,16,high,6875,-0.004897416090208895,-0.0137518381237546,0.008772941672433586,-0.5582410408127526,0.48305454545454546,-0.4045789520632319,-0.0137518381237546,0.3821772605910459,2,3
usd_strong_minus_weak_change,16,high,6794,-2.6170341376592274,-2.34839389553952,0.02042777515256309,-128.1115597814315,,-3.1560349770897713,-2.34839389553952,-1.7109599610499613,1,5
usd_weakest,16,low,4726,0.007346280293667138,0.0,0.009154610015735852,0.8024678583838768,0.45598815065594583,-0.31316873304224774,-0.0,0.32161398854964035,4,2
atr_expansion,4,not_applicable,492983,0.006076616403880564,0.0138729443057674,0.0019097643791942884,3.1818670774685995,0.5036137148745494,-0.6831439578642491,0.0138729443057674,0.7092945806533357,10,3
ny_open_sweep_low,1,not_applicable,79636,-0.016485044680609715,-0.0126610136936747,0.0030815933640081397,-5.349519788414943,0.48414033854035865,-0.40447472027906806,-0.0126610136936747,0.3752587796011757,15,5
asia_range_break_up,4,not_applicable,601914,0.0066447703975933,0.0,0.002115777102412624,3.1405814865924473,0.4759483912984247,-0.6948371467451812,0.0,0.6681903255418227,9,3
m15_shock_down_1_0_1_5,8,not_applicable,70848,0.048422603837891556,0.12165134500719904,0.011036125214009256,4.387645382676876,0.5270155826558266,-1.1380330494156854,0.12165134500719904,1.3012105285380362,13,4
asia_extreme_down,2,not_applicable,530233,0.0023061733371031535,0.0,0.00141894787487921,1.6252699467903076,0.47635662058000916,-0.4883699757799445,0.0,0.500819630834419,9,3
divergence_EURUSD_GBPUSD_convergence,16,not_applicable,33641,0.45615967923752737,0.3086890556770012,0.004827246137061144,94.49687591758892,,0.0,0.3086890556770012,0.8284891003766709,1,5
london_open_sweep_high,8,not_applicable,77616,0.05884272069181818,0.038349443098646255,0.00928676112028727,6.33619406482569,0.4873222016079159,-1.063765719512554,0.038349443098646255,1.1488898551221083,13,5
fvg_down,2,not_applicable,175373,0.021788248092237446,0.0537993064221061,0.002990068221689636,7.286873233924169,0.46424478112366213,-0.4975685372508253,0.0537993064221061,0.5799713229377245,14,5
usd_residual_positive,4,normal,1452,-0.027804741820798225,-0.0560269106064165,0.020012690513292096,-1.3893555093119927,0.4634986225895317,-0.4827443846560879,-0.0560269106064165,0.3928095562685989,5,5
london_open_extreme_down,1,not_applicable,473739,-0.0012413230646836295,0.0,0.00123186082128748,-1.007681260116918,0.4710631803588052,-0.3483095192960429,0.0,0.3506684907322398,11,2
atr_compression,1,not_applicable,560233,432.54144422409496,0.0,211.04607866327703,2.0495118742017127,0.322528305187306,-0.1540527729170061,0.0,0.1587315405453915,13,4
london_open_range_break_down,8,not_applicable,620729,0.009384755540562527,0.0,0.0028056915185618453,3.344899280079447,0.4641220242650174,-0.9202765448893596,0.0,1.0050126478869927,8,3
m15_shock_up_1_5_2_0,2,not_applicable,19755,-0.013696426358313234,-0.0918093169694706,0.01025205983917914,-1.3359682418133327,0.4637307010883321,-0.7575625549615725,-0.0918093169694706,0.6519701945186627,10,4
