mechanism,horizon_h1,currency,sample_count,mean_forward_atr,t_stat,role
S3-06,8,AUD,382.0,0.010658163528717296,0.09315734083246968,base
S3-06,8,CAD,277.0,0.08514687904037621,0.7019567678287508,base
S3-06,8,CHF,161.0,-0.44411123735549524,-2.318732780103253,base
S3-06,8,EUR,1014.0,-0.025487998062797,-0.36524036395946996,base
S3-06,8,GBP,746.0,-0.0472993639480901,-0.5842793791564119,base
S3-06,8,NZD,1312.0,-0.08401153860356057,-1.493110580936433,base
S3-06,8,USD,699.0,-0.07516506108012905,-1.049331453158339,base
S3-01,4,AUD,4831.0,-0.0009345039866599412,-0.043337905089764726,quote
S3-01,4,CAD,1726.0,-0.05692436004989259,-1.5273349600564445,quote
S3-01,4,CHF,1960.0,-0.03578894647873181,-0.9064838059254295,quote
S3-01,4,GBP,1627.0,-0.00517299789062592,-0.10947822771789872,quote
S3-01,4,JPY,12294.0,-0.026010179524705385,-1.9962793742309675,quote
S3-01,4,USD,8337.0,0.011805666570817061,0.7258407746202816,quote
S3-01,8,AUD,4831.0,-0.03650488128480681,-1.1794378131992471,quote
S3-01,8,CAD,1726.0,-0.02299789269040633,-0.4692910243004921,quote
S3-01,8,CHF,1960.0,-0.03882092378542259,-0.7109971131300251,quote
S3-01,8,GBP,1627.0,0.0035835593406191952,0.0584313707301895,quote
S3-01,8,JPY,12294.0,-0.05139198063361044,-2.8027251377471902,quote
S3-01,8,USD,8337.0,-0.015141145472916916,-0.6569101485626084,quote
S3-02,4,AUD,2381.0,0.02083095205178174,0.6591647915169245,quote
S3-02,4,CAD,793.0,-0.12803829170109715,-2.3456843347622454,quote
S3-02,4,CHF,649.0,-0.10071089044724742,-1.5276335743977614,quote
S3-02,4,GBP,757.0,-0.0056592807358870935,-0.08132134256202773,quote
S3-02,4,JPY,1891.0,0.04197884749361956,1.3039246398318525,quote
S3-02,4,USD,4161.0,-0.03652402602428042,-1.5471330722148902,quote
S3-02,8,AUD,2381.0,-0.061887291952170576,-1.3904370194294444,quote
S3-02,8,CAD,793.0,-0.13221264558424897,-1.7877082059806522,quote
S3-02,8,CHF,649.0,-0.018534631523127378,-0.22361327156413704,quote
S3-02,8,GBP,757.0,0.12033572361258431,1.2719752562596005,quote
S3-02,8,JPY,1891.0,0.021309827670973256,0.441405593856832,quote
S3-02,8,USD,4161.0,-0.07575210013328976,-2.1952225822460667,quote
S3-03,4,AUD,869.0,-0.09009092623212495,-1.8355510277311191,quote
S3-03,4,CAD,289.0,0.0331451280212111,0.3770491002531936,quote
S3-03,4,CHF,396.0,-0.0954264472704339,-1.131899011996757,quote
S3-03,4,GBP,259.0,0.029577132789665006,0.2546932067444774,quote
S3-03,4,JPY,2758.0,-0.030697498910916908,-1.1247893714864108,quote
S3-03,4,USD,1759.0,-0.05141132873337263,-1.4979051381185158,quote
S3-03,8,AUD,869.0,-0.08882026857846392,-1.2101601228233705,quote
S3-03,8,CAD,289.0,0.194563987113697,1.9199796410075485,quote
S3-03,8,CHF,396.0,0.06697638994241722,0.6249425242171017,quote
S3-03,8,GBP,259.0,-0.07982895376969612,-0.5029585929792872,quote
S3-03,8,JPY,2758.0,-0.013408529067702317,-0.3397556041993582,quote
S3-03,8,USD,1759.0,-0.09144582719211704,-1.8533460103450212,quote
S3-04,4,AUD,75.0,0.29625360624503777,1.9791838262591916,quote
S3-04,4,CAD,14.0,0.05571598016989641,0.18249284580288244,quote
S3-04,4,CHF,25.0,-0.5463160316433721,-2.1779276395009597,quote
S3-04,4,GBP,25.0,-0.24899971932134796,-1.1554379478318497,quote
S3-04,4,JPY,59.0,0.05087776141194106,0.3629196066706548,quote
S3-04,4,USD,219.0,0.09972448630725171,1.0518986199385811,quote
S3-04,8,AUD,75.0,0.2745423574237163,1.0916884525380113,quote
S3-04,8,CAD,14.0,-0.08679725447168898,-0.2721454690886987,quote
S3-04,8,CHF,25.0,-0.170012356883147,-0.45965646656788395,quote
S3-04,8,GBP,25.0,-0.11452987564781343,-0.41543082361818684,quote
