mechanism,horizon_h1,pair,sample_count,mean_forward_atr,t_stat
S3-03,8,NZDUSD,1297.0,-0.1468080309886581,-2.8362852761506905
S3-03,8,USDCAD,289.0,0.194563987113697,1.9199796410075485
S3-03,8,USDCHF,396.0,0.06697638994241722,0.6249425242171017
S3-03,8,USDJPY,194.0,0.2965629454583361,2.2554533442454683
S3-04,4,AUDJPY,5.0,-0.016472627615557945,-0.09407259053396125
S3-04,4,AUDUSD,7.0,-0.5785841716086003,-1.3049315194385553
S3-04,4,CADJPY,28.0,0.31616352571094014,1.4499937046680917
S3-04,4,CHFJPY,9.0,-0.9637599355504138,-2.657437229631953
S3-04,4,EURAUD,44.0,-0.11458459602099942,-0.6720005844017258
S3-04,4,EURGBP,25.0,-0.24899971932134796,-1.1554379478318497
S3-04,4,EURJPY,7.0,0.02176568143544996,0.11139022784771997
S3-04,4,EURUSD,7.0,0.29952335853526485,0.9961858110925678
S3-04,4,GBPAUD,31.0,0.8793787965581227,3.7415072402754976
S3-04,4,GBPJPY,7.0,0.22736874768534454,0.5616999909758243
S3-04,4,GBPUSD,7.0,-0.6738289444907357,-0.8284048512965388
S3-04,4,NZDUSD,198.0,0.14398934749614456,1.456570470380196
S3-04,4,USDCAD,14.0,0.05571598016989641,0.18249284580288244
S3-04,4,USDCHF,25.0,-0.5463160316433721,-2.1779276395009597
S3-04,4,USDJPY,3.0,0.387156919194716,0.9885718870665471
S3-04,8,AUDJPY,5.0,-0.018882345651348352,-0.018614814251501775
S3-04,8,AUDUSD,7.0,-0.6448393657764224,-0.9969103543270142
S3-04,8,CADJPY,28.0,0.01687355427793482,0.06793722241997006
S3-04,8,CHFJPY,9.0,-1.218777266732213,-1.412461203237014
S3-04,8,EURAUD,44.0,-0.11085372373215256,-0.34028937585270735
S3-04,8,EURGBP,25.0,-0.11452987564781343,-0.41543082361818684
S3-04,8,EURJPY,7.0,-0.5402730936264158,-1.511551928872148
S3-04,8,EURUSD,7.0,0.21077630278084067,0.6285360468069805
S3-04,8,GBPAUD,31.0,0.8215561500320463,2.161021045168095
S3-04,8,GBPJPY,7.0,0.6561726852944691,1.6945305526598025
S3-04,8,GBPUSD,7.0,-0.5537631133175089,-0.5520474202341733
S3-04,8,NZDUSD,198.0,-0.0964966926014572,-0.6845249397394544
S3-04,8,USDCAD,14.0,-0.08679725447168898,-0.2721454690886987
S3-04,8,USDCHF,25.0,-0.170012356883147,-0.45965646656788395
S3-04,8,USDJPY,3.0,0.31766908722359893,0.5435747148453115
S3-05,4,AUDJPY,1671.0,1.2423444920214726e-05,0.0003424343837569
S3-05,4,AUDUSD,841.0,0.02996781836740594,0.5806707065936124
S3-05,4,CADJPY,2605.0,0.025679302138897214,0.9206218263147606
S3-05,4,CHFJPY,1971.0,-0.07477904098638324,-2.146496048252424
S3-05,4,EURAUD,1826.0,-0.02097296181063369,-0.6101068913856559
S3-05,4,EURGBP,1176.0,-0.0457938379878024,-0.793822690013066
S3-05,4,EURJPY,742.0,-0.0515660542430946,-0.9256633630542059
S3-05,4,EURUSD,376.0,-0.014135934663312985,-0.15793722768317026
S3-05,4,GBPAUD,1757.0,0.0375356548697409,1.0558472524968991
S3-05,4,GBPJPY,1240.0,-0.030169478670748043,-0.6646652150089313
S3-05,4,GBPUSD,510.0,0.006488457606311413,0.06998818248273717
S3-05,4,NZDUSD,4496.0,0.0004795045073571645,0.022070985919688636
S3-05,4,USDCAD,1227.0,-0.03520623565721956,-0.7569549640734302
S3-05,4,USDCHF,1453.0,-0.057136898466979204,-1.1887073692064773
S3-05,4,USDJPY,595.0,0.05480081930064565,0.8936861741332532
S3-05,8,AUDJPY,1671.0,-0.029071613549754627,-0.5557067379580533
