pair,signal_dt,entry_dt,exit_dt,side,entry,signal_close,stop,target,exit,reason,r,atr,execution_tf
GBPUSD,2017-06-20 16:00:00,2017-06-20 16:00:00,2017-06-23 09:00:00,-1,126503.0,126507.0,127097.13148978761,125017.67127553096,127105.13148978761,SL,-1.0134650328041952,396.08765985841256,m30
GBPUSD,2017-07-13 12:00:00,2017-07-13 12:00:00,2017-07-14 16:00:00,1,129281.0,129274.0,128779.3919364475,130535.02015888125,130099.0,FRIDAY,1.6307552837303798,334.4053757016652,m30
GBPUSD,2017-07-27 08:00:00,2017-07-27 08:00:00,2017-07-27 17:30:00,1,131427.0,131420.0,130890.31416172406,132768.71459568985,130882.31416172406,SL,-1.0149062997930025,357.79055885062553,m30
GBPUSD,2017-08-01 08:00:00,2017-08-01 08:00:00,2017-08-03 14:00:00,1,132183.0,132176.0,131634.40794178986,133554.4801455253,131626.40794178986,SL,-1.014582784931511,365.7280388067505,m30
GBPUSD,2017-09-06 16:00:00,2017-09-06 16:00:00,2017-09-08 13:00:00,1,130496.0,130489.0,130031.16269217346,131658.09326956637,131650.09326956637,TP,2.482789677452078,309.8915385510314,m30
GBPUSD,2017-09-13 08:00:00,2017-09-13 08:00:00,2017-09-13 13:00:00,1,133083.0,133075.0,132544.95025056144,134428.12437359642,132536.95025056144,SL,-1.0148685135683873,358.69983295904586,m30
GBPUSD,2017-10-13 12:00:00,2017-10-13 12:00:00,2017-10-13 16:00:00,1,133053.0,133044.0,132400.6676595422,134683.83085114448,133041.0,FRIDAY,-0.018395531320091738,434.8882269718592,m30
GBPUSD,2017-11-01 12:00:00,2017-11-01 12:00:00,2017-11-01 17:00:00,1,133033.0,133025.0,132506.05062166203,134350.37344584492,132498.05062166203,SL,-1.0151817239546612,351.2995855586438,m30
GBPUSD,2017-11-27 16:00:00,2017-11-27 16:00:00,2017-11-27 17:30:00,1,133777.0,133768.0,133307.356927713,134951.1076807175,133299.356927713,SL,-1.0170342127289007,313.0953815246718,m30
GBPUSD,2017-11-29 12:00:00,2017-11-29 12:00:00,2017-12-01 16:00:00,1,133979.0,133973.0,133291.87870100126,135696.8032474969,134780.0,FRIDAY,1.1657330389367742,458.08086599916857,m30
GBPUSD,2017-12-08 08:00:00,2017-12-08 08:00:00,2017-12-08 14:00:00,1,135126.0,135119.0,134438.1609459243,136845.59763518928,134430.1609459243,SL,-1.0116306277647393,458.5593693838034,m30
GBPUSD,2017-12-14 12:00:00,2017-12-14 12:00:00,2017-12-15 14:00:00,1,134558.0,134552.0,133843.12019422223,136345.19951444442,133835.12019422223,SL,-1.0111906923868155,476.5865371851796,m30
GBPUSD,2017-12-27 12:00:00,2017-12-27 12:00:00,2017-12-29 10:30:00,1,134088.0,134080.0,133700.68586310104,135056.28534224737,135048.28534224737,TP,2.479344931573983,258.209424599302,m30
GBPUSD,2017-12-29 12:00:00,2017-12-29 12:00:00,2017-12-29 16:00:00,1,135030.0,135022.0,134623.43473679837,136046.41315800406,135243.0,FRIDAY,0.5239011280075092,271.04350880108177,m30
