month,trades,return_pct,sum_r,win_rate,avg_r
2018-08,10,-0.006819565080897427,-1.3237860297591055,0.2,-0.13237860297591056
2018-09,3,-0.007889709311985627,-1.5809940820393018,0.0,-0.526998027346434
2018-10,7,-0.003688902127242266,-0.7086071349943079,0.2857142857142857,-0.10122959071347257
2018-11,7,-0.016730178323182687,-3.364400503110967,0.2857142857142857,-0.4806286433015667
2018-12,1,0.0014651979850379693,0.29303959700757337,1.0,0.29303959700757337
2019-01,1,-0.005107823996200245,-1.0215647992400578,0.0,-1.0215647992400578
2019-02,2,-0.008521131021627326,-1.7077273063403262,0.0,-0.8538636531701631
2019-03,2,0.009794241778759094,1.9652403428274532,0.5,0.9826201714137266
2019-04,3,-0.008952104596816945,-1.7949184839097931,0.0,-0.5983061613032644
2019-05,11,-0.014978712307351816,-2.993831192384205,0.36363636363636365,-0.2721664720349277
2019-06,3,-0.004903098647254023,-0.9750223894219991,0.3333333333333333,-0.32500746314066636
2019-07,7,0.015038902491788075,3.038095577550309,0.42857142857142855,0.43401365393575847
2019-08,8,-0.02902800621777768,-5.875773060585127,0.125,-0.7344716325731409
2019-09,3,-0.015219657501567174,-3.0595058315670123,0.0,-1.019835277189004
2019-10,1,-0.005070754886778217,-1.014150977355645,0.0,-1.014150977355645
2019-11,2,-0.0011583525106185766,-0.22760137763645305,0.5,-0.11380068881822653
2019-12,3,0.024665611415579214,4.903834708534722,0.6666666666666666,1.6346115695115742
2020-01,5,-0.0029121075913871586,-0.5742109718511537,0.4,-0.11484219437023073
2020-02,3,0.037502430412093,7.408630031302422,1.0,2.469543343767474
2020-04,6,-0.013680323882630407,-2.7470279943813978,0.5,-0.4578379990635663
