pair,signal_dt,entry_dt,exit_dt,side,entry,signal_close,stop,target,exit,reason,r,atr,execution_tf,holding_hours,entry_checkpoint_utc,weekday,trend_sep_atr,ema_slope_atr,breakout_atr,candle_atr,atr_pct_252,year,entry_weekday,friday_outcome,no_chase_displacement_atr
GBPUSD,2020-11-17 16:00:00,2020-11-17 16:00:00,2020-11-19 16:00:00,1,132647.0,132637.0,132005.33485212442,134251.16286968897,131997.33485212442,SL,-1.0124675619775787,427.7767652503934,h4,48.0,16,Tuesday,4.319077012056485,0.9229821694769813,0.49324792073850476,1.2319509679108627,0.1349206349206349,2020,Tuesday,NOT_FRIDAY,0.023376678707986008
GBPUSD,2020-11-23 12:00:00,2020-11-23 12:00:00,2020-11-23 16:00:00,1,133659.0,133650.0,133086.2517051829,135090.8707370428,133078.2517051829,SL,-1.0139677412789947,381.8321965447455,h4,4.0,12,Monday,5.3479399559685215,1.1387047732160482,0.9899636631498768,1.8306470913803279,0.003968253968253968,2020,Monday,NOT_FRIDAY,0.0235705634083304
GBPUSD,2020-12-03 16:00:00,2020-12-03 16:00:00,2020-12-04 16:00:00,1,134649.0,134641.0,133972.7436417124,136339.64089571897,135015.0,FRIDAY,0.5412148743810409,450.8375721917289,h4,24.0,16,Thursday,5.489848880815135,1.0639182919463457,0.4768901557046057,1.461723779578303,0.4365079365079365,2020,Thursday,FRIDAY_WIN,0.017744749979706258
GBPUSD,2020-12-16 12:00:00,2020-12-16 12:00:00,2020-12-18 16:00:00,1,135173.0,135166.0,134269.49030110124,137431.77424724694,135135.0,FRIDAY,-0.0420582092769072,602.3397992658481,h4,52.0,12,Wednesday,4.574029994878207,0.4974664594443908,0.7636885368701576,1.1969987719203992,0.8452380952380952,2020,Wednesday,FRIDAY_LOSS,0.011621347300198051
GBPUSD,2020-12-24 12:00:00,2020-12-24 12:00:00,2020-12-28 12:00:00,1,135984.0,135982.0,135001.3032194814,138440.7419512965,134993.3032194814,SL,-1.0081408631417026,655.131187012404,h4,96.0,12,Thursday,4.604774513359418,0.70879224731891,0.42586890310065106,0.9891148717176412,0.9285714285714286,2020,Thursday,NOT_FRIDAY,0.003052823678140868
GBPUSD,2020-12-31 12:00:00,2020-12-31 12:00:00,2021-01-04 16:00:00,1,136597.0,136588.0,135876.35176439988,138398.62058900032,135868.35176439988,SL,-1.0111011164737425,480.4321570667517,h4,100.0,12,Thursday,6.62869073855724,1.0000274746161781,0.18941279983337247,0.9429010804892058,0.42857142857142855,2020,Thursday,NOT_FRIDAY,0.018733134049454418
GBPUSD,2021-01-21 12:00:00,2021-01-21 12:00:00,2021-01-22 08:00:00,1,137340.0,137333.0,136802.00061547497,138684.9984613126,136794.00061547497,SL,-1.0148699054870671,358.66625635002714,h4,20.0,12,Thursday,10.273982386237842,1.1777996472111176,0.4098517699879209,1.5195184669620196,0.027777777777777776,2021,Thursday,NOT_FRIDAY,0.01951675095180576
GBPUSD,2021-02-09 08:00:00,2021-02-09 08:00:00,2021-02-12 16:00:00,1,137840.0,137834.0,137323.681926302,139130.79518424498,137990.0,FRIDAY,0.2905185923972512,344.2120491319928,h4,80.0,8,Tuesday,11.534826056273223,0.9763508859450991,0.6827186921335402,0.903512822355451,0.08333333333333333,2021,Tuesday,FRIDAY_WIN,0.017431115543835068
GBPUSD,2021-02-15 08:00:00,2021-02-15 08:00:00,2021-02-17 12:00:00,1,139005.0,138997.0,138558.1060970334,140122.2347574165,138550.1060970334,SL,-1.0179013406692246,297.9292686444017,h4,52.0,8,Monday,13.853962895493426,1.6971370212897454,0.29201561966656003,0.6377352613407633,0.06349206349206349,2021,Monday,NOT_FRIDAY,0.02685201100382161
GBPUSD,2021-02-18 16:00:00,2021-02-18 16:00:00,2021-02-19 16:00:00,1,139788.0,139776.0,139233.3835665098,141174.54108372555,140288.0,FRIDAY,0.9015239538675172,369.74428899347697,h4,24.0,16,Thursday,11.516689994236815,1.4895187748856964,0.6896658247086508,1.7255168477024283,0.2619047619047619,2021,Thursday,FRIDAY_WIN,0.032454862339230624
GBPUSD,2021-02-23 12:00:00,2021-02-23 12:00:00,2021-02-24 00:00:00,1,140904.0,140896.0,140384.2328297011,142203.41792574726,142195.41792574726,TP,2.484608493077026,346.51144686593256,h4,12.0,12,Tuesday,12.880024987292233,1.9214212596845524,0.10100676418214177,1.1370475739361103,0.2222222222222222,2021,Tuesday,NOT_FRIDAY,0.02308726038448955
