pair,signal_dt,entry_dt,exit_dt,side,entry,signal_close,stop,target,exit,reason,r,atr,execution_tf,year
USDJPY,2014-12-04 08:00:00,2014-12-04 08:00:00,2014-12-04 16:00:00,1,119901.0,119896.0,119453.47940417152,121243.56178748545,119446.47940417152,SL,-1.0156417382020986,298.34706388565496,h4,2014
USDJPY,2014-12-05 12:00:00,2014-12-05 12:00:00,2014-12-05 16:00:00,1,120343.0,120336.0,119867.29714213661,121770.10857359016,121170.0,FRIDAY,1.7384802010954024,317.13523857559187,h4,2014
USDJPY,2014-12-18 16:00:00,2014-12-18 16:00:00,2014-12-19 16:00:00,1,119242.0,119234.0,118024.84314496572,122893.47056510283,119072.0,FRIDAY,-0.1396697552142629,811.4379033561869,h4,2014
USDJPY,2014-12-22 12:00:00,2014-12-22 12:00:00,2014-12-26 16:00:00,1,119829.0,119823.0,118943.51003603377,122485.4698918987,120377.0,FRIDAY,0.6188664155440371,590.326642644154,h4,2014
USDJPY,2015-01-20 08:00:00,2015-01-20 08:00:00,2015-01-21 08:00:00,1,118294.0,118292.0,117480.01832486929,120735.94502539212,117473.01832486929,SL,-1.0085997021970756,542.6544500871381,h4,2015
USDJPY,2015-02-10 16:00:00,2015-02-10 16:00:00,2015-02-12 08:00:00,1,119489.0,119483.0,118901.97742448031,121250.06772655908,119496.0,BE,0.011924583980101437,391.3483836797944,h4,2015
USDJPY,2015-02-24 12:00:00,2015-02-24 12:00:00,2015-02-24 16:00:00,1,119520.0,119506.0,119044.31098567927,120947.06704296217,119037.31098567927,SL,-1.0147154964467757,317.1260095471471,h4,2015
USDJPY,2015-03-10 08:00:00,2015-03-10 08:00:00,2015-03-10 12:00:00,1,121798.0,121787.0,121273.00590881429,123372.98227355712,121266.00590881429,SL,-1.013333483400158,349.99606079047095,h4,2015
USDJPY,2015-04-13 12:00:00,2015-04-13 12:00:00,2015-04-13 12:00:00,1,120792.0,120781.0,120329.81451394783,122178.55645815651,120322.81451394783,SL,-1.015145434487331,308.1236573681149,h4,2015
USDJPY,2015-05-20 08:00:00,2015-05-20 08:00:00,2015-05-22 16:00:00,1,120967.0,120961.0,120575.65727524295,122141.02817427114,121467.0,FRIDAY,1.2776524728047862,260.8951498380293,h4,2015
USDJPY,2015-05-26 08:00:00,2015-05-26 08:00:00,2015-05-26 12:00:00,1,121853.0,121846.0,121497.90249851128,122918.29250446615,122911.29250446615,TP,2.980287104328664,236.73166765914502,h4,2015
USDJPY,2015-07-15 16:00:00,2015-07-15 16:00:00,2015-07-17 16:00:00,1,123754.0,123745.0,123244.39877289896,125282.8036813031,124072.0,FRIDAY,0.6240173356901094,339.73415140069187,h4,2015
USDJPY,2015-07-20 12:00:00,2015-07-20 12:00:00,2015-07-21 16:00:00,1,124272.0,124264.0,123939.54295780159,125269.37112659524,123932.54295780159,SL,-1.0210553518545058,221.638028132276,h4,2015
USDJPY,2015-07-30 12:00:00,2015-07-30 12:00:00,2015-07-31 12:00:00,1,124191.0,124186.0,123808.45271570401,125338.64185288796,123801.45271570401,SL,-1.018298391564541,255.03152286399097,h4,2015
USDJPY,2015-11-05 12:00:00,2015-11-05 12:00:00,2015-11-06 16:00:00,1,121899.0,121893.0,121456.03603408072,123227.89189775781,122790.0,FRIDAY,2.0114502951745377,295.30931061284684,h4,2015
USDJPY,2015-11-09 12:00:00,2015-11-09 12:00:00,2015-11-09 16:00:00,1,123548.0,123538.0,123061.12714902258,125008.61855293225,123054.12714902258,SL,-1.014377470392838,324.58190065161216,h4,2015
USDJPY,2015-11-17 08:00:00,2015-11-17 08:00:00,2015-11-19 12:00:00,1,123397.0,123388.0,123008.79570068997,124561.61289793011,123001.79570068997,SL,-1.0180317425964551,258.80286620669153,h4,2015
USDJPY,2015-12-02 16:00:00,2015-12-02 16:00:00,2015-12-03 12:00:00,1,123365.0,123358.0,123034.47772585304,124356.56682244087,123027.47772585304,SL,-1.0211786029188903,220.34818276463696,h4,2015
USDJPY,2016-02-09 08:00:00,2016-02-09 08:00:00,2016-02-11 08:00:00,-1,114824.0,114832.0,115823.50295462468,111825.49113612596,111832.49113612596,TP,2.9929965189521286,666.3353030831216,h4,2016
USDJPY,2016-03-17 08:00:00,2016-03-17 08:00:00,2016-03-18 16:00:00,-1,112172.0,112177.0,112907.86455564812,109964.40633305565,111484.0,FRIDAY,0.934954666207617,490.5763704320768,h4,2016
USDJPY,2016-03-30 12:00:00,2016-03-30 12:00:00,2016-04-01 16:00:00,-1,112214.0,112221.0,112736.53385917081,110646.39842248757,112056.0,FRIDAY,0.30237275006585296,348.35590611387124,h4,2016
USDJPY,2016-04-05 08:00:00,2016-04-05 08:00:00,2016-04-07 04:00:00,-1,110861.0,110868.0,111399.0416107222,109246.87516783341,109253.87516783341,TP,2.9869898538319313,358.69440714813123,h4,2016
USDJPY,2016-04-07 08:00:00,2016-04-07 08:00:00,2016-04-08 16:00:00,-1,109086.0,109093.0,109747.87715491913,107100.3685352426,108706.0,FRIDAY,0.5741246652430948,441.2514366127562,h4,2016
USDJPY,2016-04-28 12:00:00,2016-04-28 12:00:00,2016-04-29 16:00:00,-1,108114.0,108121.0,109034.84837618606,105351.45487144185,107233.0,FRIDAY,0.9567264522406016,613.8989174573677,h4,2016
USDJPY,2016-05-03 08:00:00,2016-05-03 08:00:00,2016-05-04 00:00:00,-1,105985.0,105992.0,106715.69256864725,103792.92229405824,106722.69256864725,SL,-1.0095799523634956,487.12837909816824,h4,2016
USDJPY,2016-06-13 08:00:00,2016-06-13 08:00:00,2016-06-16 08:00:00,-1,105919.0,105926.0,106581.93047349463,103930.2085795161,103937.2085795161,TP,2.9894408233142413,441.95364899642374,h4,2016
USDJPY,2016-06-16 12:00:00,2016-06-16 12:00:00,2016-06-17 16:00:00,-1,104130.0,104139.0,104887.05073514735,101858.84779455794,104327.0,FRIDAY,-0.2602203403998486,504.7004900982357,h4,2016
USDJPY,2016-07-05 08:00:00,2016-07-05 08:00:00,2016-07-06 12:00:00,-1,102012.0,102020.0,102541.00831396985,100424.97505809044,100431.97505809044,TP,2.986767693786375,352.672209313237,h4,2016
USDJPY,2016-08-02 12:00:00,2016-08-02 12:00:00,2016-08-05 16:00:00,-1,101719.0,101727.0,102708.44678398981,98750.65964803057,101562.0,FRIDAY,0.1586745265540398,659.6311893265383,h4,2016
USDJPY,2016-08-16 08:00:00,2016-08-16 08:00:00,2016-08-17 08:00:00,-1,100513.0,100520.0,101074.79965991664,98827.60102025008,101081.79965991664,SL,-1.0124599577027742,374.5331066110947,h4,2016
USDJPY,2016-12-12 12:00:00,2016-12-12 12:00:00,2016-12-12 16:00:00,1,115838.0,115831.0,115111.96509324551,118016.10472026348,115104.96509324551,SL,-1.0096414097102961,484.0232711696612,h4,2016
USDJPY,2016-12-15 12:00:00,2016-12-15 12:00:00,2016-12-16 16:00:00,1,117895.0,117887.0,117049.15617856086,120432.53146431739,118109.0,FRIDAY,0.25300178895425113,563.8958809594199,h4,2016
USDJPY,2017-01-27 08:00:00,2017-01-27 08:00:00,2017-01-27 16:00:00,1,115041.0,115033.0,114241.134078692,117440.59776392399,115167.0,FRIDAY,0.15752640116728103,533.2439475386631,h4,2017
USDJPY,2017-03-09 12:00:00,2017-03-09 12:00:00,2017-03-10 16:00:00,1,114839.0,114831.0,114321.88254689238,116390.35235932289,115234.0,FRIDAY,0.7638496779140581,344.74496873841895,h4,2017
USDJPY,2017-05-02 12:00:00,2017-05-02 12:00:00,2017-05-05 04:00:00,1,112175.0,112167.0,111708.84521858023,113573.46434425931,112182.0,BE,0.015016471521926875,310.7698542798456,h4,2017
USDJPY,2017-05-09 12:00:00,2017-05-09 12:00:00,2017-05-12 16:00:00,1,113645.0,113639.0,113185.23558549395,115024.29324351813,113350.0,FRIDAY,-0.6416329552537026,306.50960967069466,h4,2017
USDJPY,2017-06-29 12:00:00,2017-06-29 12:00:00,2017-06-29 16:00:00,1,112561.0,112553.0,112103.08692743526,113934.73921769421,112096.08692743526,SL,-1.015286744186616,305.2753817098244,h4,2017
USDJPY,2017-07-03 16:00:00,2017-07-03 16:00:00,2017-07-07 16:00:00,1,112989.0,112982.0,112458.98590016834,114579.04229949499,113911.0,FRIDAY,1.739576362766266,353.34273322110835,h4,2017
USDJPY,2017-07-11 08:00:00,2017-07-11 08:00:00,2017-07-11 16:00:00,1,114350.0,114343.0,113912.92315634065,115661.23053097806,113905.92315634065,SL,-1.0160154904144292,291.38456243956966,h4,2017
USDJPY,2017-08-18 12:00:00,2017-08-18 12:00:00,2017-08-18 16:00:00,-1,108980.0,108990.0,109512.10623304405,107383.68130086787,108865.0,FRIDAY,0.21612225690744993,354.7374886960284,h4,2017
USDJPY,2017-09-05 08:00:00,2017-09-05 08:00:00,2017-09-08 08:00:00,-1,109338.0,109345.0,109845.43408439014,107815.69774682955,107822.69774682955,TP,2.986205104829694,338.2893895934335,h4,2017
USDJPY,2017-09-08 12:00:00,2017-09-08 12:00:00,2017-09-08 16:00:00,-1,107684.0,107692.0,108253.53778936341,105975.38663190974,107704.0,FRIDAY,-0.03511619487506592,379.69185957561143,h4,2017
USDJPY,2017-10-18 12:00:00,2017-10-18 12:00:00,2017-10-20 16:00:00,1,112659.0,112654.0,112287.4858823258,113773.5423530226,113282.0,FRIDAY,1.6769214690956677,247.67607844946656,h4,2017
USDJPY,2017-10-25 12:00:00,2017-10-25 12:00:00,2017-10-25 16:00:00,1,114129.0,114123.0,113671.64324975527,115501.07025073419,113664.64324975527,SL,-1.0153053387672732,304.90450016315407,h4,2017
USDJPY,2017-12-08 08:00:00,2017-12-08 08:00:00,2017-12-08 16:00:00,1,113395.0,113389.0,112975.55486373791,114653.33540878628,113329.0,FRIDAY,-0.15735073384844178,279.6300908413954,h4,2017
USDJPY,2017-12-20 12:00:00,2017-12-20 12:00:00,2017-12-22 16:00:00,1,113158.0,113151.0,112808.89967611879,114205.30097164362,113377.0,FRIDAY,0.6273268313395266,232.73354925413796,h4,2017
USDJPY,2018-02-13 12:00:00,2018-02-13 12:00:00,2018-02-16 04:00:00,-1,107646.0,107653.0,108294.51313373372,105700.46059879883,105707.46059879883,TP,2.9892060782798575,432.3420891558163,h4,2018
USDJPY,2018-02-16 08:00:00,2018-02-16 08:00:00,2018-02-16 16:00:00,-1,105786.0,105793.0,106506.47730600339,103624.56808198983,106157.0,FRIDAY,-0.5149364135533983,480.3182040022602,h4,2018
USDJPY,2018-03-02 08:00:00,2018-03-02 08:00:00,2018-03-02 16:00:00,-1,105785.0,105792.0,106302.4806648447,104232.5580054659,105428.0,FRIDAY,0.6898808482190065,344.9871098964695,h4,2018
USDJPY,2018-03-16 12:00:00,2018-03-16 12:00:00,2018-03-16 16:00:00,-1,105706.0,105712.0,106223.38951060061,104153.83146819819,106058.0,FRIDAY,-0.680338493123653,344.92634040040343,h4,2018
USDJPY,2018-03-22 16:00:00,2018-03-22 16:00:00,2018-03-23 16:00:00,-1,105432.0,105440.0,105946.7404742507,103887.7785772479,105152.0,FRIDAY,0.5439634417860577,343.1603161671353,h4,2018
USDJPY,2018-07-10 08:00:00,2018-07-10 08:00:00,2018-07-11 00:00:00,1,111166.0,111159.0,110854.62747526926,112100.11757419223,110847.62747526926,SL,-1.0224811100659956,207.5816831538306,h4,2018
USDJPY,2018-07-12 08:00:00,2018-07-12 08:00:00,2018-07-13 16:00:00,1,112200.0,112193.0,111781.94274611701,113454.17176164895,112502.0,FRIDAY,0.7223890919125899,278.70483592198946,h4,2018
USDJPY,2018-07-31 12:00:00,2018-07-31 12:00:00,2018-08-03 16:00:00,1,111542.0,111535.0,111137.95589711772,112754.13230864686,111443.0,FRIDAY,-0.24502275690642153,269.3627352548586,h4,2018
USDJPY,2018-09-21 08:00:00,2018-09-21 08:00:00,2018-09-21 16:00:00,1,112735.0,112726.0,112401.34209065168,113735.97372804495,112710.0,FRIDAY,-0.07492704143842639,222.43860623221076,h4,2018
USDJPY,2018-09-28 08:00:00,2018-09-28 08:00:00,2018-09-28 16:00:00,1,113531.0,113524.0,113206.3999525621,114504.80014231367,113372.0,FRIDAY,-0.4898335698192482,216.4000316252614,h4,2018
USDJPY,2018-10-01 08:00:00,2018-10-01 08:00:00,2018-10-02 12:00:00,1,113933.0,113926.0,113601.21428752401,114928.35713742799,113594.21428752401,SL,-1.0210979549051649,221.1904749839959,h4,2018
