pair,signal_dt,entry_dt,exit_dt,side,entry,signal_close,stop,target,exit,reason,r,atr,execution_tf,year
USDJPY,2014-09-09 08:00:00,2014-09-09 08:00:00,2014-09-12 16:00:00,1,106247.0,106241.0,105770.93444526075,107437.16388684812,107334.0,FRIDAY,2.2832989893489937,272.0374598510006,h4,2014
USDJPY,2014-09-18 08:00:00,2014-09-18 08:00:00,2014-09-19 16:00:00,1,108826.0,108818.0,108285.23683592818,110177.90791017954,108853.0,FRIDAY,0.04992943638523123,309.0075223267509,h4,2014
USDJPY,2014-09-29 08:00:00,2014-09-29 08:00:00,2014-09-29 12:00:00,1,109670.0,109664.0,109142.71394765047,110988.21513087384,109135.71394765047,SL,-1.013275526573868,301.3063156283066,h4,2014
USDJPY,2014-10-23 12:00:00,2014-10-23 12:00:00,2014-10-24 16:00:00,1,107540.0,107532.0,106964.70188973662,108978.24527565844,107933.0,FRIDAY,0.6831240933853955,328.7417772933577,h4,2014
USDJPY,2014-10-30 08:00:00,2014-10-30 08:00:00,2014-10-31 04:00:00,1,109136.0,109132.0,108626.72170062253,110409.1957484437,110402.1957484437,TP,2.486255059348573,291.0161710728466,h4,2014
USDJPY,2014-10-31 12:00:00,2014-10-31 12:00:00,2014-10-31 16:00:00,1,111752.0,111745.0,110933.17615752087,113799.05960619781,112272.0,FRIDAY,0.635057228457847,467.89933855950204,h4,2014
USDJPY,2014-11-03 12:00:00,2014-11-03 12:00:00,2014-11-06 04:00:00,1,113286.0,113276.0,112406.18788547623,115485.53028630943,115478.53028630943,TP,2.4920437558378183,502.7497797278679,h4,2014
USDJPY,2014-11-11 12:00:00,2014-11-11 12:00:00,2014-11-11 20:00:00,1,115990.0,115979.0,115111.96344126039,118185.091396849,115104.96344126039,SL,-1.0079723331908337,501.73517642263033,h4,2014
USDJPY,2014-11-14 12:00:00,2014-11-14 12:00:00,2014-11-14 16:00:00,1,116353.0,116343.0,115590.38196107172,118259.54509732069,116619.0,FRIDAY,0.34879846321733377,435.7817365304443,h4,2014
USDJPY,2014-11-19 08:00:00,2014-11-19 08:00:00,2014-11-21 16:00:00,1,117285.0,117278.0,116536.69288823266,119155.76777941835,117813.0,FRIDAY,0.7055926526649953,427.6040638670526,h4,2014
