stage,variable,value,trades,win_rate,expectancy_r,profit_factor,max_dd_pct,total_return_pct,cagr,trades_per_month,longest_loss_streak
one_factor,d1_slope_lookback,5,151,0.4768211920529801,0.16887123672650603,1.3602036022336967,0.05258068601395416,0.1322520648189378,0.015070292556916831,1.495049504950495,6
one_factor,d1_slope_lookback,10,150,0.48,0.18593408444189252,1.403880274517435,0.05262382497612794,0.145870021323522,0.016532795419216484,1.4851485148514851,7
one_factor,extreme_candle_atr,1.5,127,0.4330708661417323,0.08890646800131402,1.1829222275011262,0.06042757928520315,0.05531956409598182,0.006505203419216565,1.2574257425742574,7
one_factor,extreme_candle_atr,2.0,151,0.4768211920529801,0.16887123672650603,1.3602036022336967,0.05258068601395416,0.1322520648189378,0.015070292556916831,1.495049504950495,6
one_factor,extreme_candle_atr,2.5,162,0.46296296296296297,0.1457024772735336,1.305790562662766,0.057405365939995456,0.12137105645339874,0.01389056244997211,1.603960396039604,7
one_factor,chase_atr,0.1,151,0.4768211920529801,0.16887123672650603,1.3602036022336967,0.05258068601395416,0.1322520648189378,0.015070292556916831,1.495049504950495,6
one_factor,chase_atr,0.2,151,0.4768211920529801,0.16887123672650603,1.3602036022336967,0.05258068601395416,0.1322520648189378,0.015070292556916831,1.495049504950495,6
one_factor,chase_atr,0.3,151,0.4768211920529801,0.16887123672650603,1.3602036022336967,0.05258068601395416,0.1322520648189378,0.015070292556916831,1.495049504950495,6
local_grid,lookback_atr_rr,15/1.25/2.0,181,0.4419889502762431,0.08240062967504432,1.1610577301416316,0.06813654204444397,0.07364867177778511,0.008594485435308608,1.7920792079207921,8
local_grid,lookback_atr_rr,15/1.25/2.5,175,0.4342857142857143,0.06928330671993826,1.1338771598994584,0.0658298014132015,0.0584673388130037,0.0068662676621151775,1.7326732673267327,8
local_grid,lookback_atr_rr,15/1.25/3.0,170,0.4411764705882353,0.14329187334026977,1.281704629551923,0.06352306078195824,0.12447616832537634,0.014228244924269662,1.683168316831683,8
local_grid,lookback_atr_rr,15/1.5/2.0,175,0.4514285714285714,0.06851150259384138,1.143243370729467,0.06791972002305413,0.05857661695022931,0.0068787853958458545,1.7326732673267327,7
local_grid,lookback_atr_rr,15/1.5/2.5,168,0.4642857142857143,0.14278343870254462,1.3030904499404845,0.05861717833988889,0.1234134074673201,0.014112761568750853,1.6633663366336633,7
local_grid,lookback_atr_rr,15/1.5/3.0,162,0.46296296296296297,0.17636267311360604,1.3710842347996888,0.05835210254169387,0.14896833810758348,0.01686340375597295,1.603960396039604,7
local_grid,lookback_atr_rr,15/1.75/2.0,169,0.47337278106508873,0.08461646187917288,1.1890813798329316,0.05820558121010977,0.07118598460689651,0.00831560376530649,1.6732673267326732,7
local_grid,lookback_atr_rr,15/1.75/2.5,162,0.4691358024691358,0.11729433238019317,1.2585500722115892,0.05541005980360536,0.09624606724284734,0.01112754036859398,1.603960396039604,7
local_grid,lookback_atr_rr,15/1.75/3.0,159,0.4716981132075472,0.12220276859607145,1.272015515925348,0.055764713425695556,0.09847460187738077,0.011374853479290792,1.5742574257425743,7
local_grid,lookback_atr_rr,20/1.25/2.0,164,0.43902439024390244,0.06392309210742285,1.1228246310126584,0.06988049805721797,0.05050610905317954,0.005951241956375197,1.6237623762376239,6
local_grid,lookback_atr_rr,20/1.25/2.5,158,0.43037974683544306,0.06749053716852019,1.127991895171043,0.05715125596728465,0.05109857305788501,0.006019546632924033,1.5643564356435644,6
local_grid,lookback_atr_rr,20/1.25/3.0,153,0.43790849673202614,0.14312774290511684,1.2764229509831766,0.05614769146352616,0.11115335591507725,0.012773546093116428,1.5148514851485149,6
local_grid,lookback_atr_rr,20/1.5/2.0,159,0.4591194968553459,0.09239630007509692,1.1946767653703187,0.06450580021284191,0.07319561850341838,0.008543222662217298,1.5742574257425743,6
local_grid,lookback_atr_rr,20/1.5/2.5,151,0.4768211920529801,0.16887123672650603,1.3602036022336967,0.05258068601395416,0.1322520648189378,0.015070292556916831,1.495049504950495,6
local_grid,lookback_atr_rr,20/1.5/3.0,146,0.4726027397260274,0.19756491945498222,1.4195160332488483,0.05258068601395449,0.1509455316705366,0.017073972114856506,1.4455445544554455,6
local_grid,lookback_atr_rr,20/1.75/2.0,151,0.48344370860927155,0.11642492286887755,1.2639389857361425,0.04847221436487825,0.08914137725952886,0.010336129607813271,1.495049504950495,6
local_grid,lookback_atr_rr,20/1.75/2.5,145,0.47586206896551725,0.14536192995327213,1.3264324009219672,0.04847221436487892,0.10799686856100799,0.01242664680058736,1.4356435643564356,6
local_grid,lookback_atr_rr,20/1.75/3.0,143,0.4755244755244755,0.1495144077545079,1.3366000840623216,0.048472214364878474,0.10950788333626615,0.012592816270379892,1.4158415841584158,6
local_grid,lookback_atr_rr,25/1.25/2.0,153,0.45751633986928103,0.09499761154891818,1.1905380946820017,0.06215143846389248,0.0722683365285357,0.008438241749724629,1.5148514851485149,6
local_grid,lookback_atr_rr,25/1.25/2.5,147,0.4557823129251701,0.09209642860041473,1.1848988870313268,0.05306717828365359,0.06668949184774431,0.007804950121196752,1.4554455445544554,6
local_grid,lookback_atr_rr,25/1.25/3.0,142,0.4647887323943662,0.16389587884589873,1.336675301269601,0.04998809748102928,0.11932234478584047,0.013667313410510307,1.4059405940594059,6
local_grid,lookback_atr_rr,25/1.5/2.0,148,0.47297297297297297,0.11612962758441303,1.2528295366103561,0.06291249652309405,0.08688186277394339,0.010083484353642147,1.4653465346534653,5
local_grid,lookback_atr_rr,25/1.5/2.5,140,0.4928571428571429,0.1928254501375994,1.4264165678528178,0.053296720922151986,0.14103418692302472,0.016015209193129598,1.386138613861386,5
local_grid,lookback_atr_rr,25/1.5/3.0,136,0.4852941176470588,0.2127211537047249,1.4644227079522347,0.05687740408581188,0.15173810662591536,0.017158290919092822,1.3465346534653466,5
local_grid,lookback_atr_rr,25/1.75/2.0,140,0.5,0.14187467460589123,1.333947985799282,0.04718987618475856,0.1018434273824731,0.011747874612279219,1.386138613861386,5
local_grid,lookback_atr_rr,25/1.75/2.5,135,0.4888888888888889,0.16143486865932538,1.372814763405038,0.044653157509263575,0.11219488021937907,0.01288781987731391,1.3366336633663367,5
local_grid,lookback_atr_rr,25/1.75/3.0,132,0.49242424242424243,0.17630801537591184,1.4056090005772712,0.047394746272855004,0.12021814275727105,0.01376497310285174,1.306930693069307,5
