event,horizon,dispersion_regime,pair,event_count,mean_forward_return,median_forward_return,standard_error,t_statistic,directional_probability,p25,p50,p75
usd_residual_negative,8,normal,AUDUSD,135,-0.008117159971590376,-0.0565952486813097,0.06231233434017586,-0.13026570192792217,0.5333333333333333,-0.4315094907588881,-0.0565952486813097,0.34771593616879826
usd_residual_negative,8,normal,EURUSD,90,-0.09221104459259545,-0.09738904975862595,0.09720872250182612,-0.9485881741822418,0.5666666666666667,-0.541042489133865,-0.09738904975862595,0.3571111492237855
usd_residual_negative,8,normal,GBPUSD,267,0.011412283183020448,0.0501525384102719,0.04933918397023715,0.231302633418191,0.48314606741573035,-0.44230046915243737,0.0501525384102719,0.4512068869986607
usd_residual_negative,8,normal,NZDUSD,159,-0.09268918144812859,0.0,0.06171320790811475,-1.5019342631829184,0.49056603773584906,-0.39414623549231953,0.0,0.3589645929456413
usd_residual_negative,8,normal,USDCAD,290,-0.0011386781851072609,0.0,0.0443280790668251,-0.025687514755392177,0.4793103448275862,-0.4317443285357005,0.0,0.4028710776066744
usd_residual_negative,8,normal,USDCHF,112,-0.15411048623404286,-0.17616883953409568,0.07016276450685578,-2.1964711242098267,0.5714285714285714,-0.6224780120084679,-0.17616883953409568,0.32559370806834476
usd_residual_negative,8,normal,USDJPY,320,0.03057860395997191,0.04885060795828495,0.03881216266722641,0.7878613779435939,0.465625,-0.39508167625566165,0.04885060795828495,0.47059632413065905
usd_strongest,8,low,AUDUSD,986,-0.0040614138778296074,0.0,0.01657075062749597,-0.24509534716493006,0.3225152129817444,-0.1902372224146181,-0.0,0.16416681590024068
usd_strongest,8,low,EURUSD,418,-0.050042801101313,-0.038153529270255754,0.024990129582623605,-2.0025026655367677,0.45454545454545453,-0.30796657752061435,-0.038153529270255754,0.20828979044102466
usd_strongest,8,low,GBPUSD,620,0.026324053453874174,-0.010100390845400799,0.0226392925214674,1.162759544226603,0.4435483870967742,-0.253058612411834,-0.010100390845400799,0.2866531995180861
usd_strongest,8,low,NZDUSD,700,0.02926281972044859,0.00271574891780095,0.02424920676943987,1.2067536888393042,0.48857142857142855,-0.3278502230816294,0.00271574891780095,0.32041331272039597
usd_strongest,8,low,USDCAD,714,0.02339021677338831,0.01728475083107435,0.021020134948125924,1.1127529309926574,0.49719887955182074,-0.2354412509519295,0.01728475083107435,0.3039871363569362
usd_strongest,8,low,USDCHF,566,-0.00421236806813559,0.0215917079193712,0.022952838377082712,-0.18352275212905406,0.5159010600706714,-0.25858147234015183,0.0215917079193712,0.25942567958033624
