event,horizon,dispersion_regime,event_count,mean_forward_return,median_forward_return,standard_error,t_statistic,directional_probability,p25,p50,p75,pair_breadth_same_sign,year_breadth_same_sign
ny_open_sweep_low,1,not_applicable,85350,-0.016163744283891533,-0.013549771133523,0.0029705983112165856,-5.441241995883246,0.4834915055653193,-0.40431310861130476,-0.013549771133523,0.3736764206070567,15,4
asia_range_break_up,4,not_applicable,636879,0.007654407945262228,0.0,0.0020447317551669716,3.7434778062793734,0.47611084680135474,-0.6948070884550851,0.0,0.6692704571182261,9,3
m15_shock_down_1_0_1_5,8,not_applicable,70848,0.048422603837891556,0.12165134500719904,0.011036125214009256,4.387645382676876,0.5270155826558266,-1.1380330494156854,0.12165134500719904,1.3012105285380362,13,4
asia_extreme_down,2,not_applicable,572427,0.002788992492788525,0.0,0.001369609696826174,2.036341082610263,0.47706869172837757,-0.4884569382711159,0.0,0.4994762182295448,9,3
london_open_sweep_high,8,not_applicable,82661,0.059384041888916925,0.0382043326967304,0.008910910056505222,6.664194960150547,0.48736405318106485,-1.0592765775701485,0.0382043326967304,1.147061841646615,13,5
fvg_down,2,not_applicable,186592,0.022103135730548746,0.0529467631045078,0.0028733690052308958,7.692411134911856,0.46467694220545364,-0.4974170536087687,0.0529467631045078,0.5792853573867257,14,5
london_open_extreme_down,1,not_applicable,507743,-0.001379344043810241,0.0,0.001183435856163532,-1.1655418725285247,0.47177213669120005,-0.34869742956215943,0.0,0.3502146095978655,11,2
atr_compression,1,not_applicable,560233,432.54144422409496,0.0,211.04607866327703,2.0495118742017127,0.322528305187306,-0.1540527729170061,0.0,0.1587315405453915,13,4
london_open_range_break_down,8,not_applicable,664227,0.007464839631496402,0.0,0.002703835773336395,2.760833222605518,0.4655110376422518,-0.9228502445785696,0.0,1.0018854665136425,8,3
m15_shock_up_1_5_2_0,2,not_applicable,19755,-0.013696426358313234,-0.0918093169694706,0.01025205983917914,-1.3359682418133327,0.4637307010883321,-0.7575625549615725,-0.0918093169694706,0.6519701945186627,10,4
london_open_extreme_up,8,not_applicable,511038,0.025756236823282846,0.0,0.0030460187359508395,8.455705317663723,0.4794398850966073,-0.9578748803748863,0.0,0.9941844155449775,11,4
m15_shock_down_1_5_2_0,2,not_applicable,20118,0.051516004173658786,0.11185650453284066,0.010363710292695881,4.970807048703991,0.5413062928720549,-0.6397196048630837,0.11185650453284066,0.7974366212990801,12,5
m15_shock_up_gt_2_0,16,not_applicable,11514,0.025515145961708702,-0.06445980791771866,0.2098499660081946,0.12158756299589936,0.48957790515893695,-2.281102861996925,-0.06445980791771866,2.0912918890653125,5,3
ny_open_range_break_down,8,not_applicable,566075,0.035928877802385135,0.0176883795441689,0.003017165875532032,11.908154634040336,0.459023980921256,-0.9631186317494504,0.0176883795441689,1.0760078179051868,11,5
sweep_then_mss_up,4,not_applicable,39993,-0.046978736504122445,-0.098930699230444,0.008290581766547612,-5.666518686744159,0.4625059385392444,-0.8491016033956483,-0.098930699230444,0.7035824319679872,14,4
atr_expansion,1,not_applicable,494657,0.0013048525434943806,0.0,0.0010031550605120547,1.3007486029411306,0.4977307508030817,-0.3684713325782504,0.0,0.3736388956949006,10,3
ote_up,1,not_applicable,101,1.5463881426257693,0.1763542172646309,0.4773492280789961,3.23953209026633,0.5643564356435643,-0.478552191546254,0.1763542172646309,2.443939824013625,11,4
ny_open_sweep_low,4,not_applicable,84525,-0.002524206494249201,0.0,0.00599289437735066,-0.4211998969628266,0.4996746524696835,-0.7387447606645549,0.0,0.7420189786879897,8,4
ny_open_extreme_down,16,not_applicable,501301,-0.013089551715226001,0.0,0.005011604446156858,-2.6118485319135085,0.45457120572270954,-1.3396560439804248,0.0,1.4068321613809092,10,2
asia_extreme_up,8,not_applicable,577776,0.0074054241521775265,0.0,0.003249115733510705,2.279212179424549,0.48147898147378915,-0.9867641517281712,0.0,0.9977554198573424,9,3
london_body_extreme_down,4,not_applicable,604548,-0.0032978468101093946,0.0,0.0018406190377709152,-1.7917052591737057,0.46551803992404245,-0.6561202343398035,0.0,0.6696286241626392,9,2
london_body_sweep_low,1,not_applicable,77381,-0.018134379356779806,-0.0167353912903474,0.0032797144635792028,-5.529255536773003,0.4817203189413422,-0.4207317583712007,-0.0167353912903474,0.3806587380569336,11,5
asia_range_break_down,16,not_applicable,593971,0.0002833160279084993,0.0,0.0042755842953502675,0.06626369832460273,0.4722183406260575,-1.3606919403665063,0.0,1.4197651793016863,8,3
ny_open_range_break_down,1,not_applicable,577377,0.00955287263267412,0.0,0.0011705450652669319,8.161046435658312,0.4609068251766177,-0.3492913833378451,0.0,0.3889855068326823,15,5
london_open_extreme_up,1,not_applicable,521415,0.0021962144099862773,0.0,0.0011269850732505177,1.9487519951367451,0.47385671681865693,-0.3467107670511975,0.0,0.34951213328996855,11,4
london_open_range_break_up,8,not_applicable,672920,0.011634253420638462,0.0,0.0028365954911117198,4.101484845863151,0.47361499138084767,-0.9962968672100965,0.0,0.9712895905437035,7,4
london_open_extreme_up,2,not_applicable,519869,0.004852787984950171,0.0,0.0015585116296980266,3.113732289498818,0.4761295634092435,-0.4803992615527711,0.0,0.4859444440725893,12,4
sweep_then_mss_down,4,not_applicable,40682,0.04377841496228685,0.10150594395536619,0.008225283889944722,5.322419936873579,0.4614817363944742,-0.7298426436179238,0.10150594395536619,0.877597220938117,13,5
ote_up,8,not_applicable,100,2.5642245945477016,0.8385447686261408,1.0763380763518322,2.382359828093186,0.58,-2.1886335446606533,0.8385447686261408,7.199276113767506,11,4
breaker_up,16,not_applicable,107598,-0.04843702735483141,-0.07983542868263116,0.011120806337147574,-4.355531953922618,0.4842933883529434,-1.642992552524289,-0.07983542868263116,1.5980201417885986,12,4
london_body_extreme_down,16,not_applicable,581787,-0.014340491716633002,0.0,0.004164859149771845,-3.4432116911849437,0.46527852977120493,-1.3861608842618667,0.0,1.3997737639708299,8,3
london_open_extreme_up,16,not_applicable,500057,0.0482104452592635,0.0,0.00475051690695675,10.148463041708824,0.4821390361498789,-1.4023762934241737,0.0,1.506942375035563,11,4
london_body_extreme_up,8,not_applicable,570927,0.012181510128524442,0.0,0.0030536133657560944,3.989211687743652,0.46849422080230924,-0.9445792428757603,0.0,0.9494337865910643,9,4
london_open_range_break_down,1,not_applicable,681471,0.00626411504008031,0.0,0.001080096814496373,5.799586625946248,0.46435431588431497,-0.33953154578997335,0.0,0.37267889076775473,14,5
asia_sweep_high,2,not_applicable,73911,0.03621785030659748,0.0205753981012728,0.0046997686136419125,7.706304987328258,0.4853945962035421,-0.5541490021379908,0.0205753981012728,0.6016087866338448,15,5
